Name of Organisation,Objective,Services,SDG(s),Focus 1,Focus 2,Focus 3,Focus 4,Focus 5,Focus 6,Focus 7,Focus 8,,,Target Group,Can individuals contact them?,,Phone Number,Email,Web Address,Address,Region,Notes
La Liane,Better living conditions for women and children,Food and shelter,"(1) No Poverty, (2) No Hunger, (3) Health, (4) Education, (5) Gender Equality, (8) Work / Economic Growth, (11) Sustainable Communities","Victims of violence + domestic violence

Victims of family break-ups",Health / Hygiene,"Schooling / Education (incl. socialisation, integration, cultural and sporting activities)",Business training (income-generating activities),Children living on the street,Victims of other forms of exploitation,People living with disabilities,,,,"Children 
Youth
Women",TRUE,,77 434 51 51 / 77 783 31 40,c.hallegot@laposte.net,https://laliane.eu,Ndiolofféne Nord,Saint-Louis,
Association Jeunesse Espoir (AJS),"The main goal of AJS is to support children and youth in vulnerable situations in the northern region of Senegal through five main axes, while also using the potential of the Internet ","Employement support, health  support programs, training","(1) No Poverty, (3) Health, (4) Education, (8) Work / Economic Growth, (10) Inequalities, (11) Sustainable Communities","Health: enrolling the beneficiaries enrolled in our various programs in the ""Maladies Universelle"" coverage, launched by the State of Senegal for the health care of children in vulnerable situations.",Education: bringing back or maintaining in school children who are out of school or at risk of dropping out and helping to create the right conditions for quality education for children and young people in vulnerable situations.,Economic Integration: Accompanying certified youth who have completed their training towards economic integration through self-employment (entrepreneurship) or to have a decent job for their economic independence,Vocational training: by enrolling in vocational training young people aged 16 to 24 who can no longer return to school as part of an incubation of young people likely to open the doors to entrepreneurship and economic independence.,"Migration: By contributing effectively to the fight against illegal emigration of children and youth and the reintegration of returning migrants through awareness, education, health, training and economic integration.",,,,,,"Children 
Youth
Migrants",TRUE,,33 961 49 80 / 77 843 39 34,jeunesseespoir60@gmail.com,www.jeunesse-espoir-senegal.com,"Hlm villa 407 derrière la Maison de Lille Saint-Louis, Sénégal",Saint-Louis,
Connexion Sans Frontieres,"Integration of ICT in development policies, support, advice, process organization ","Structured social protection for informal sector workers, as well as support for local communities","(1) No Poverty, (9) Industry / Innovation / Infrastructure",Informal sector,,,,,,,,,,"Women
Children
Informal Sector Workers",TRUE,,776342646,aakcisse@gmail.com,,AVENUE CHEIKH ANTA DIOP ,Dakar,
African Network for Horticultural Development,Combining the experiences and resources available to support horticulture research and development initiatives within the member countries.,R&D in Horticulture,(11) Sustainable Communities,"Plant material and seeds (breeding, multiplication and exchange, biodiversity conservation)

","Irrigation

","Good agricultural practices (integrated production and protection, etc.)

",Economy and strategies of horticultural sectors,,,,,,,Farmers,FALSE,,,radhort@fao.org,www.fao.org/radhort,,Dakar,
African Network for Integrated Development (ANID),"Democratic development that benefits everyone, rich and poor alike, where wealth, power and knowledge are shared.",Support-Consultancy; training; skills transfer; political and strategic alliances; operational and institutional synergy; advocacy; lobbying. ,"(1) No Poverty, (10) Inequalities, (11) Sustainable Communities, (2) No Hunger",Food security and nutrition,Access to basic social services,Environment and natural resources management,Promotion of entrepreneurship,Employment and employability,Promotion of Human Rights and fight against all forms of violence,Decentralization and local governance,,,,"Young adults
Youth looking for work
Women
People living with disabilities
Prisoners
Vulnerable people",TRUE,,33 860 76 98,radi@orange.sn,www.radi-afrique.com,"Yoff virage, Lot 97 ",Dakar,"Joint, numéro conforme, et informations confirmées."
African Network for Support to Women Entrepreneurs (ANSWE),Promotion of women's entrepreneurship. ,"Assistance and advice,training,information,access to financing,Capacity building,The creation of a business incubation center,the creation of a women's entrepreneurship house,the social protection of the association's members","(1) No Poverty, (5) Gender Equality, (8) Work / Economic Growth, (8) Work / Economic Growth",Access to financing,Social protection,Women enterpreneurs,Training and capacity building,Leadership in the private sector,,,,,,Women entrepreneurs,TRUE,,,,https://www.rasef-senegal.org/,,Dakar,Site Web en construction et Contacts non-renseignés
African Office for Development and Cooperation,"OFADEC's mission is to assist and protect victims of humanitarian crises, through the protection and assistance

It has 18 years of experience with refugees, asylum seekers and displaced persons in the following areas

Camp management (250 camps managed for a population of 66,000 refugees)
Health and Education (66,000 refugees)
Women's micro projects (500 women)
Repatriation (2,000 refugees)
Agricultural projects (2,000 hectares for refugees)","- Food security for the poorest populations and income generation through integrated projects;
-The promotion, protection and assistance to refugees; 
- Improving the role and living conditions of women through income-generating activities;
","(1) No Poverty, (10) Inequalities, (5) Gender Equality, (11) Sustainable Communities",Integrated rural development ,Income-generating activities,Assistance to refugees ,Environment,Food security,Women,,,,,"Financially vulnerable people
Refugees
Women",TRUE,,338322460,sinfor@ofadec.org,http://ofadec.org/,"SN, Dakar, 1887, HANN MARISTES, Espace résidence, Villa 302",Dakar,Numéro non joignable
Centre de Recherche Ouest Africaine (CROA),"CROA promotes academic and cultural exchanges between American and West African scholars, students, and artists and supports research on the West African region. 







","Financial assistance to student researchers in their research;

Facilitation of research-focused collaborations and access to ressources","(4) Education, (17) Partnerships","Encouraging collaborative research between U.S. and West African scholars, universities, and relevant institutions through a fellowship program and the organization of symposia, seminars, and workshops on topics of general and academic interest.","Providing West African and visiting scholars with a research library, computer facilities, and a computer network capable of supporting meaningful research efforts by providing up-to-date data and information on West Africa and the Diaspora.","Provide a forum in which local and foreign researchers can conduct and share their work, and create a transnational community of scholars and researchers.",To promote interdisciplinary approaches and gender considerations in the study of West Africa and the African Diaspora.,"To disseminate knowledge through public lectures and other meetings open to the general public.
To collect, catalog and disseminate the results of research on West Africa.",,,,,,African and International students,TRUE,,33 865 22 77 / 77 065 26 40,"yademariane@gmail.com",warccroa.org,"Rue Ex Leon G. Damas, Fann Résidence",Dakar,
Association des Jeunes pour le Developpement  (AJD/PASTEEF),"support programs for disadvantaged populations in peri-urban and rural areas.

Establish a framework of better being through the implementation of programs integrating the mobilization of expertise, methods and various tools to establish a good policy of self-care for the needs of populations in various areas","- Fight against AIDS (prevention programs for other vulnerable populations: fishermen, truckers, migrants, gold miners) 
- Child protection and assistance to vulnerable people (programs to improve a protective environment for children at risk and/or victims of violence)","(1) No Poverty, (2) No Hunger, (3) Health, (4) Education, (10) Inequalities",Health ,AIDS,Victims of violence,Child protection (talibes and other children in precarious/abusive situations),Financial assistance to vulnerable people,,,,,,"Women
Chilren
Financially (or health-wise) vulnerable communities",TRUE,,338778798,,https://www.ong-ajdpasteef.org/,"villa N° 143N Cité SHS GOLF NORD
GUEDIAWAYE - DAKAR
SENEGAL",Dakar,
African Regional Centre for Technology (ARCT), to be the leading global network of research and technological organisations through collaboration and knowledge sharing for sustainable development.,Promoting exchange of experience in research and technology management,(17) Partnerships,encourage and facilitate transfer of research results and technical know-how,enhance capabilities in management of research and technological organisations,,,,,,,,,Researchers in the TIC field,TRUE,,338237712,crat@orange.sn,,"mm. Fahd 12ème Etage, Boulevard Djily Mbaye, Dakar-Plateau
Dakar - Sénégal",Dakar,Numéro non joignable
